"bundestagId","name","party","profileUrl","hasConstituencyOffice","officeCount","postalAddress","postalCode","city","rawLines"
"1046564","Plum, Dr. Martin","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/plum_martin-1046564","true","1","Goetersstraße 54, 41747 Viersen","41747","Viersen","Goetersstraße 54
41747 Viersen"
"1046586","Pöpsel, Oliver","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/poepsel_oliver-1046586","true","1","Bahnhofstr. 2, 59494 Soest, Lippborger Str. 10, 59510 Lippetal, Brüderstr. 4, 59555 Lippstadt","59494","Soest","Bahnhofstr. 2
59494 Soest
Lippborger Str. 10
59510 Lippetal
Brüderstr. 4
59555 Lippstadt"
"1046570","Pohlmann, Jan-Wilhelm","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/pohlmann_jan-1046570","true","2","Hagenstr. 3a, 34497 Korbach | Wahlkreisbüro Kassel-Land, Dr.-Walter-Lübcke-Haus, Heinrich-Plett-Str. 39, 34132 Kassel","34497 | 34132","Korbach | Kassel","Hagenstr. 3a
34497 Korbach
---
Wahlkreisbüro Kassel-Land
Dr.-Walter-Lübcke-Haus
Heinrich-Plett-Str. 39
34132 Kassel"
"1046574","Polat, Filiz","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/P/polat_filiz-1046574","true","1","Hasestr. 41a, 49074 Osnabrück","49074","Osnabrück","Hasestr. 41a
49074 Osnabrück"
"1046592","Poschmann, Sabine","SPD","https://www.bundestag.de/abgeordnete/biografien/P/poschmann_sabine-1046592","true","1","Brüderweg 10–12, 44135 Dortmund","44135","Dortmund","Brüderweg 10–12
44135 Dortmund"
"1049074","Preisendanz, Dr. David","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/P/preisendanz_david-1049074","true","1","Bahnhofstraße 27, 73728 Esslingen a.N.","73728","Esslingen a.N.","Bahnhofstraße 27
73728 Esslingen a.N."
"1046620","Protschka, Stephan","AfD","https://www.bundestag.de/abgeordnete/biografien/P/protschka_stephan-1046620","true","1","Griesgasse 9, 84130 Dingolfing","84130","Dingolfing","Griesgasse 9
84130 Dingolfing"
"1046624","Przygodda, Kerstin","AfD","https://www.bundestag.de/abgeordnete/biografien/P/przygodda_kerstin-1046624","false","0","","","",""
"1046642","Queckemeyer, Marcel","AfD","https://www.bundestag.de/abgeordnete/biografien/Q/queckemeyer_marcel-1046642","false","0","","","",""
"1046646","Rabanus, Martin","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rabanus_martin-1046646","true","1","Wiesbadener Straße 26, 65510 Idstein","65510","Idstein","Wiesbadener Straße 26
65510 Idstein"
"1046652","Rachel, Thomas","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rachel_thomas-1046652","false","0","","","",""
"1046660","Radomski, Kerstin","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/radomski_kerstin-1046660","true","1","Carl-Wilhelm-Straße 30, 47798 Krefeld","47798","Krefeld","Carl-Wilhelm-Straße 30
47798 Krefeld"
"1049086","Radwan, Alexander","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/radwan_alexander-1049086","true","1","Valepper Str. 28, 83700 Rottach Egern","83700","Rottach Egern","Valepper Str. 28
83700 Rottach Egern"
"1046668","Rainer, Alois","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rainer_alois-1046668","false","0","","","",""
"1046672","Ramelow, Bodo","Die Linke","https://www.bundestag.de/abgeordnete/biografien/R/ramelow_bodo-1046672","true","2","Wahlkreisbüro Erfurt, Magdeburger Allee 134, 99086 Erfurt | Wahlkreisbüro Weimar, c/o M17, Marktstraße 17, 99423 Weimar","99086 | 99423","Erfurt | Weimar","Wahlkreisbüro Erfurt
Magdeburger Allee 134
99086 Erfurt
---
Wahlkreisbüro Weimar
c/o M17
Marktstraße 17
99423 Weimar"
"1045704","Rathert, Dr. Anna","AfD","https://www.bundestag.de/abgeordnete/biografien/R/labitzke_rathert_anna-1045704","false","0","","","",""
"1046688","Raue, Arne","AfD","https://www.bundestag.de/abgeordnete/biografien/R/raue_arne-1046688","false","0","","","",""
"1049096","Reck, Christian","AfD","https://www.bundestag.de/abgeordnete/biografien/R/reck_christian-1049096","true","1","AfD Bürgerbüro Großenhain, Christian Reck (MdB), z.Hd. Carona Köhler, Dresdner Str. 7, 01558 Großenhain, AfD Bürgerbüro Coswig, Christian Reck (MdB), z.Hd. Thomas Walther, Dresdner Str. 48, 01640 Coswig, AfD Bürgerbüro Meißen, Christian Reck (MdB), z.Hd. Katrin Schindler, Roßmarkt 3, 01662 Meißen, AfD Bürgerbüro Riesa, Christian Reck (MdB), Lange Str. 25, 01587 Riesa","01558","Großenhain","AfD Bürgerbüro Großenhain
Christian Reck (MdB)
z.Hd. Carona Köhler
Dresdner Str. 7
01558 Großenhain
AfD Bürgerbüro Coswig
Christian Reck (MdB)
z.Hd. Thomas Walther
Dresdner Str. 48
01640 Coswig
AfD Bürgerbüro Meißen
Christian Reck (MdB)
z.Hd. Katrin Schindler
Roßmarkt 3
01662 Meißen
AfD Bürgerbüro Riesa
Christian Reck (MdB)
Lange Str. 25
01587 Riesa"
"1046704","Reddig, Pascal","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/reddig_pascal-1046704","true","1","Rudolf-Walther-Straße 4, 63584 Gründau","63584","Gründau","Rudolf-Walther-Straße 4
63584 Gründau"
"1049104","Rehbaum, Henning","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rehbaum_henning-1049104","false","0","","","",""
"1046708","Rehm, Lukas","AfD","https://www.bundestag.de/abgeordnete/biografien/R/rehm_lukas-1046708","true","1","Wahlkreisbüro Lukas Rehm, Sachsstraße 13, 85080 Gaimersheim","85080","Gaimersheim","Wahlkreisbüro Lukas Rehm
Sachsstraße 13
85080 Gaimersheim"
"1046710","Reichardt, Martin","AfD","https://www.bundestag.de/abgeordnete/biografien/R/reichardt_martin-1046710","true","2","Wahlkreisbüro Zeitz, Domherrenstraße 7, 06712 Zeitz | Wahlkreisbüro Haldensleben, Bülstringer Straße 1, 39340 Haldensleben","06712 | 39340","Zeitz | Haldensleben","Wahlkreisbüro Zeitz
Domherrenstraße 7
06712 Zeitz
---
Wahlkreisbüro Haldensleben
Bülstringer Straße 1
39340 Haldensleben"
"1046712","Reichardt, Truels","SPD","https://www.bundestag.de/abgeordnete/biografien/R/reichardt_truels-1046712","false","0","","","",""
"1046714","Reichel, Dr. Markus","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/reichel_markus-1046714","false","0","","","",""
"1046720","Reichinnek, Heidi","Die Linke","https://www.bundestag.de/abgeordnete/biografien/R/reichinnek_heidi-1046720","true","1","Parkstraße 24a, 49080 Osnabrück","49080","Osnabrück","Parkstraße 24a
49080 Osnabrück"
"1046726","Reinalter, Dr. Anja","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/R/reinalter_anja-1046726","true","1","Bahnhofstraße 27, 88400 Biberach","88400","Biberach","Bahnhofstraße 27
88400 Biberach"
"1046742","Reisner, Lea","Die Linke","https://www.bundestag.de/abgeordnete/biografien/R/reisner_lea-1046742","true","1","Severinswall 37, 50678 Köln","50678","Köln","Severinswall 37
50678 Köln"
"1046750","Renner, Martin Erwin","AfD","https://www.bundestag.de/abgeordnete/biografien/R/renner_martin-1046750","false","0","","","",""
"1049114","Rentzsch, Matthias","AfD","https://www.bundestag.de/abgeordnete/biografien/R/rentzsch_matthias-1049114","false","0","","","",""
"1046792","Rietenberg, Sylvia","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/R/rietenberg_sylvia-1046792","true","1","Windthorststr. 7, 48143 Münster","48143","Münster","Windthorststr. 7
48143 Münster"
"1046796","Rinkert, Daniel","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rinkert_daniel-1046796","true","1","Breite Straße 31, 41515 Grevenbroich","41515","Grevenbroich","Breite Straße 31
41515 Grevenbroich"
"1049138","Röttgen, Dr. Norbert","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/roettgen_norbert-1049138","true","1","Mülheimer Str. 33a, 53604 Bad Honnef","53604","Bad Honnef","Mülheimer Str. 33a
53604 Bad Honnef"
"1046878","Röwekamp, Thomas","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/roewekamp_thomas-1046878","true","1","Am Wall 135, 28195 Bremen","28195","Bremen","Am Wall 135
28195 Bremen"
"1046814","Rohde, Dennis","SPD","https://www.bundestag.de/abgeordnete/biografien/R/rohde_dennis-1046814","true","1","Huntestraße 23, 26135 Oldenburg","26135","Oldenburg","Huntestraße 23
26135 Oldenburg"
"1046822","Rohwer, Lars","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rohwer_lars-1046822","true","1","Bürgerbüro, Kesselsdorfer Straße 41, 01159 Dresden","01159","Dresden","Bürgerbüro
Kesselsdorfer Straße 41
01159 Dresden"
"1046828","Roloff, Sebastian","SPD","https://www.bundestag.de/abgeordnete/biografien/R/roloff_sebastian-1046828","true","1","Freibadstraße 9 (Rückgebäude), 81543 München","81543","München","Freibadstraße 9 (Rückgebäude)
81543 München"
"1046858","Roth, Claudia","Bündnis 90/Die Grünen","https://www.bundestag.de/abgeordnete/biografien/R/roth_claudia-1046858","true","1","Katharinengasse 34, 86150 Augsburg","86150","Augsburg","Katharinengasse 34
86150 Augsburg"
"1049136","Rothenberger, Johannes","CDU/CSU","https://www.bundestag.de/abgeordnete/biografien/R/rothenberger_johannes-1049136","false","0","","","",""
